,component,days,delay,level,preparation,temps_indirect,total_days
0,72408,0.636595744680851,0,1,0.0,0.0,0.636595744680851
0,7040A,10.16316595744681,0,2,0.0,0.0,10.16316595744681
0,7040B,10.16316595744681,0,2,0.0,0.0,10.16316595744681
0,7040E,10.241165957446809,0,2,0.0,0.0,10.241165957446809
0,7040C,27.574468085106382,0,3,0.0,0.0,27.574468085106382
0,7040D,27.914893617021278,0,3,0.0,0.0,27.914893617021278
0,7040F,27.404255319148938,0,3,0.0,0.0,27.404255319148938
0,7040D,27.914893617021278,0,4,0.0,0.0,27.914893617021278
0,8600W,0.5106382978723404,0,4,0.0,0.0,0.5106382978723404
0,7208A,0.05668085106382978,0,4,0.0,0.0,0.05668085106382978
0,8600W,0.5106382978723404,0,5,0.0,0.0,0.5106382978723404
0,7208A,0.05668085106382978,0,5,0.0,0.0,0.05668085106382978
